ID,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality,load_centrality,pagerank,information_centrality,_wkshell
YBL082C,0.0007641365257259297,0.00021883255353462758,5.934501793740566e-05,0.25800938599127177,0.0002256577129125302,0.00011592669483313779,0.00034989904099224945,65
YDR135C,0.007131940906775344,0.004930725309216045,0.0016359727875140226,0.2596700457529984,0.005137941524704272,0.0005721179034511206,0.0005779434077976104,399
YGL003C,0.00025471217524197657,0.0,3.4779665506269375e-07,0.19957300484495075,0.0,5.993174307613136e-05,0.00017204503794312248,9
YJL053W,0.0015282730514518594,0.00010835680269468854,6.976159189365543e-07,0.20179489544909773,0.0001329285546190721,0.00023622062423393512,0.0003563742469527766,32
YJL154C,0.001782985226693836,0.0005092814441217548,1.6254370004994755e-06,0.21433718886518557,0.0005716711328407936,0.0002650426984013215,0.0003855464073751035,36
YBL085W,0.0025471217524197657,0.000942949982612404,2.181021114249e-05,0.2559675597683909,0.0010622619291908038,0.0002833595003666242,0.0005057019010623811,87
YIR006C,0.004330106979113601,0.00036324180701361873,5.46860775217166e-06,0.24460346118293722,0.00043028549516511413,0.00037307456350473207,0.0005437651234142647,202
YOL070C,0.0015282730514518594,0.0006367946793765424,2.4344297362305748e-05,0.24971530722695998,0.000711136975779793,0.0002192971299166039,0.0004120016496694473,66
YDR208W,0.0025471217524197657,0.0007565915576704652,3.866095076172648e-06,0.2371064516610891,0.0008092520235602418,0.00029474436165093966,0.0005031927582899292,87
YBL066C,0.0028018339276617422,0.0008536229258491661,2.0222338851576078e-05,0.24532316536452686,0.0008367487534801028,0.0003092979229243445,0.0005154259318117866,99
YHR097C,0.001782985226693836,0.0014107623060921938,7.345860139564898e-05,0.25299881935840013,0.0014879712831534489,0.00023839282887897322,0.00044320891090219856,74
YGR237C,0.003056546102903719,0.00045381942267649976,2.5122160039717435e-05,0.23814487407712306,0.00046796178724044766,0.00030829206788245177,0.0005224794948052336,103
YJR019C,0.0020376974019358125,0.00041468718313722447,1.0798683724921134e-05,0.23929922132056086,0.00044831277425447973,0.00022354213564942046,0.0004820970922580677,73
