name,_wkshell,_wks_percentile_bucket
AT5G61210,128.0,65.0
AT5G54661,5.0,10.0
AT1G04870,84.0,50.0
AT4G32150,217.0,80.0
AT4G26840,332.0,95.0
AT5G20350,24.0,25.0
AT5G55170,335.0,95.0
AT4G32520,217.0,80.0
AT1G04950,217.0,90.0
AT5G62440,31.0,30.0
AT1G21700,214.0,70.0
AT4G32940,217.0,75.0
AT1G54140,225.0,90.0
AT4G33200,5.0,10.0
AT1G60620,301.0,95.0
AT4G33360,217.0,75.0
AT1G60850,302.0,95.0
AT5G20480,9.0,15.0
AT2G01710,35.0,30.0
AT5G03470,13.0,20.0
AT2G25170,216.0,70.0
AT4G34000,8.0,15.0
AT2G27470,196.0,70.0
AT4G34140,61.0,45.0
AT2G33610,256.0,90.0
AT4G34230,217.0,75.0
AT2G47620,266.0,95.0
AT5G56750,5.0,10.0
AT3G01890,282.0,95.0
AT4G35000,5.0,10.0
AT3G17590,201.0,70.0
AT4G35570,17.0,20.0
AT3G22320,256.0,90.0
AT4G36220,217.0,75.0
AT3G22990,281.0,95.0
AT4G36250,217.0,75.0
AT3G54610,47.0,35.0
AT5G42000,2.0,0.0
AT4G31720,33.0,30.0
AT4G37260,6.0,10.0
AT4G34430,217.0,90.0
AT5G08330,9.0,15.0
AT4G38130,217.0,85.0
AT4G37640,63.0,45.0
AT5G14170,292.0,95.0
AT4G37690,217.0,70.0
AT5G19310,157.0,65.0
AT5G48030,2.0,0.0
AT5G23880,123.0,60.0
AT4G38230,217.0,70.0
AT5G25150,107.0,55.0
AT4G38270,217.0,70.0
AT5G42920,234.0,90.0
AT4G38430,2.0,0.0
AT1G05000,9.0,15.0
AT5G42750,7.0,10.0
AT5G19620,13.0,20.0
AT5G58220,61.0,45.0
AT1G05190,217.0,90.0
AT5G51280,15.0,20.0
AT2G43030,217.0,90.0
AT5G24330,2.0,0.0
AT3G10650,222.0,90.0
AT4G39850,1.0,0.0
AT4G01310,272.0,95.0
AT5G27600,1.0,0.0
AT1G05200,50.0,40.0
AT5G01210,217.0,70.0
AT1G05500,167.0,65.0
AT5G01540,6.0,10.0
AT1G05510,217.0,75.0
AT5G01820,217.0,80.0
AT1G05730,1.0,0.0
AT5G02050,31.0,30.0
AT2G33410,1.0,0.0
AT5G09420,61.0,45.0
AT1G05805,128.0,65.0
AT5G18010,2.0,0.0
AT2G27970,209.0,70.0
AT5G04550,217.0,70.0
AT3G08850,295.0,95.0
AT5G05130,217.0,70.0
AT3G11520,37.0,35.0
AT5G06960,217.0,70.0
AT1G06040,217.0,80.0
AT5G07530,217.0,70.0
AT1G14920,84.0,55.0
AT5G08160,217.0,70.0
AT4G39070,27.0,25.0
AT5G10860,217.0,70.0
AT1G06070,17.0,25.0
AT5G11030,217.0,80.0
AT3G10525,47.0,35.0
AT5G11490,217.0,70.0
AT3G24810,81.0,50.0
AT5G13650,217.0,70.0
