node,homodimer,homotrimer,homotetramer,heterodimer,heterotrimer,heterotetramer,heteropentamer,heterohexamer,heteroheptamer,heterooctamer,heterononamer,heterodecamer,in_complex,complex_partners,complex_count_unknown,complex_count
AT1G09750,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09760,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09770,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09780,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09830,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09840,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09870,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09960,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G09970,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10060,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10070,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10140,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10155,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10180,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10200,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10290,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10300,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10320,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10350,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10390,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10430,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10470,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10480,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G10490,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
