complex_string,stoichiometry,unknown_stoichiometry
YNL287W;YIL076W;YDR238C;YGL137W;YFR051C;YPL010W;YDL145C,0;0;0;0;0;0;0,1
YOR132W;YJL154C;YHR012W;YJL053W;YOR069W,0;0;0;0;0,1
YER017C;YMR089C,0;0,1
YCL044C;YPR024W;YMR115W,0;0;0,1
YBR123C;YGR047C;YAL001C;YDR362C;YPL007C;YOR110W,0;0;0;0;0;0,1
YMR125W;YPL178W,1;1,0
YKL028W;YKR062W,2;2,0
YDL108W;YER171W;YDR311W;YPR025C;YIL143C;YPL122C;YDR460W;YLR005W;YOR352W;YPR056W;YDR079C-A,0;0;0;0;0;0;0;0;0;0;0,1
YDL108W;YPR025C;YDR460W,0;0;0,1
YML010W;YGR063C,1;1,0
YER159C;YDR397C,0;0,1
YBR112C;YCR084C,1;4,0
YPR110C;YOR341W;YBR154C;YPR187W;YOR224C;YPR010C;YOR210W;YNL113W;YJR063W;YHR143W-A;YOR340C;YJL148W;YDR156W;YNL248C,1;1;1;1;1;1;1;1;1;1;1;1;1;1,0
YGL090W;YOR005C,2;1,0
YNL082W;YMR167W,1;1,0
YMR167W;YLR035C,0;0,1
YMR167W;YPL164C,0;0,1
YDL042C;YJL076W;YFR028C,0;0;0,1
YBR098W;YDR386W,3;3,0
YEL003W;YJL179W;YGR078C;YLR200W;YNL153C;YML094W,1;1;1;1;1;1,0
YML115C;YPL050C,1;1,0
YNL273W;YMR048W,0;0,1
YBR131W;YGL124C,0;0,1
YCR002C;YLR314C;YJR076C;YHR107C;YDL225W,2;2;2;2;0,1
YGL180W;YLR423C;YPR185W;YPL166W;YDR022C,2;2;2;2;2,0
YBR097W;YLR240W;YPL120W;YLR360W,1;1;1;1,0
YIL079C;YJR036C;YJL050W;YOL115W,0;0;0;0,1
YJR036C;YJL050W;YOL115W;YDL175C,0;0;0;0,1
YIL079C;YJL050W;YNL299W,0;0;0,1
YCR086W;YPL204W;YER106W;YDR439W,0;0;0;0,1
YEL056W;YPL001W;YLL022C,0;0;0,1
YGR092W;YIL106W,1;1,0
YFL034C-B;YNL161W,0;0,1
YPR161C;YLR226W,0;0,1
YDR159W;YOL072W,0;0,1
YPL031C;YOL001W,1;1,0
YPL031C;YER059W,1;1,0
YPL031C;YIL050W,1;1,0
YPL031C;YPL219W,1;1,0
YPL031C;YGL134W,1;1,0
YPL031C;YGL215W,1;1,0
YPL031C;YDL127W,1;1,0
YPL031C;YNL289W,1;1,0
YPL031C;YHR071W,1;1,0
YPL031C;YDL179W,1;1,0
YGL200C;YAL007C;YML012W;YAR002C-A,0;0;0;0,1
YBR160W;YMR199W;YBR135W,0;0;0,1
YBR160W;YAL040C;YBR135W,0;0;0,1
YBR160W;YPR119W,0;0,1
YBR160W;YPR120C,0;0,1
YGR132C;YGR231C,0;0,1
YFL003C;YDL154W,1;1,0
YAR014C;YER133W,0;1,1
