gene,Lyu_lysate_cell_MS2_Tm,Lyu_lysate_cell_MS2_R2,Lyu_lysate_cell_MS2_RSE,Lyu_intact_cell_MS2_Tm,Lyu_intact_cell_MS2_R2,Lyu_intact_cell_MS2_RSE,Lyu_intact_cell_MS3_Tm,Lyu_intact_cell_MS3_R2,Lyu_intact_cell_MS3_RSE
AT1G18450,35.87379923,0.988924229,0.03681081,48.2065612,0.988478737,0.045803683,,,
AT1G18500,40.38664712,0.999605335,0.008161388,50.50187573,0.996885938,0.027563034,50.12637848,0.995470969,0.033705194
AT1G18640,52.06544983,0.994411185,0.038896555,52.82349636,0.997577731,0.025539228,52.57663783,0.988601512,0.055964428
AT1G19450,,,,56.34728084,0.979886161,0.062948792,56.88386629,0.970591232,0.080091502
AT1G19570,44.97448948,0.998409217,0.018917654,53.53052089,0.997154382,0.025800844,53.43569445,0.999156611,0.014581246
AT1G19670,55.81345843,0.99635552,0.025816505,62.17837025,0.970292045,0.057656658,62.99354442,0.866280627,0.149340554
AT1G19730,54.58337371,0.992876608,0.034371435,56.45892174,0.995530016,0.028965046,58.42091812,0.971315108,0.079930377
AT1G19800,,,,55.32217334,0.974033329,0.069633846,,,
AT1G20010,,,,52.37458164,0.988310145,0.044863003,,,
AT1G20020,57.33263551,0.979861815,0.062281616,57.42310774,0.995383625,0.032051062,57.78408576,0.994662991,0.034256862
AT1G20110,58.684242,0.988805823,0.036729413,51.7756556,0.990918786,0.043012598,53.13695886,0.985084489,0.057937569
AT1G20200,36.75802959,0.992073265,0.031836018,47.95522952,0.983393061,0.064026377,47.18332778,0.988265466,0.053978554
AT1G20330,39.37791489,0.995689039,0.026329393,44.80116281,0.989881286,0.04681278,44.73804039,0.981714744,0.063884519
AT1G20340,,,,60.25366077,0.989150835,0.039573188,59.81991358,0.953675661,0.09700121
AT1G20450,67.57459625,0.94898463,0.054676273,61.55986573,0.975063404,0.05296786,60.68754848,0.909537504,0.128944103
AT1G20630,51.53214632,0.998871456,0.015457324,54.06766229,0.999476117,0.010812048,54.46792046,0.978001703,0.072645065
AT1G20770,53.16881269,0.977096343,0.058105489,52.36854439,0.979656631,0.076672618,,,
AT1G20950,41.69133166,0.997977563,0.018750396,53.18034636,0.997062664,0.025671648,52.6798568,0.990823893,0.04808833
