gene,Lyu_lysate_cell_MS2_Tm,Lyu_lysate_cell_MS2_R2,Lyu_lysate_cell_MS2_RSE,Lyu_intact_cell_MS2_Tm,Lyu_intact_cell_MS2_R2,Lyu_intact_cell_MS2_RSE,Lyu_intact_cell_MS3_Tm,Lyu_intact_cell_MS3_R2,Lyu_intact_cell_MS3_RSE
AT1G31280,50.54542177,0.986544983,0.045858073,53.876391,0.970272988,0.086463905,,,
AT1G31330,43.31275354,0.991462156,0.033156057,57.56599249,0.994349874,0.034187763,57.77507727,0.992512965,0.039477734
AT1G31440,56.65837133,0.991081448,0.032739681,53.73818017,0.982231008,0.060972413,,,
AT1G31760,,,,61.83611775,0.904721263,0.097372721,,,
AT1G31780,,,,47.01687691,0.977370758,0.068423394,,,
AT1G32060,38.34938821,0.999771784,0.006288324,55.61987591,0.975527678,0.07042265,55.67376728,0.975816114,0.070113825
AT1G32440,41.25626042,0.999454591,0.009952396,51.90358362,0.992014678,0.04239067,50.38932692,0.992263294,0.045396827
AT1G32580,55.54936806,0.989450503,0.037128465,44.93777986,0.995084494,0.032238797,43.95464793,0.987624428,0.053779162
AT1G32900,35.27283551,0.996299632,0.022243669,42.60332887,0.97892826,0.066199101,41.35901217,0.992862357,0.037468508
AT1G32990,55.5914931,0.989746721,0.039028493,56.28806686,0.992713482,0.039621274,56.96692474,0.98509073,0.059296704
AT1G33140,44.3963619,0.991702125,0.029157872,53.14030666,0.98873512,0.046644185,52.77176111,0.988866936,0.047517843
AT1G34430,45.80145249,0.990068193,0.046384895,50.0577387,0.987025665,0.059138453,49.99218552,0.989546852,0.05389814
AT1G35720,53.71841446,0.991296462,0.045073301,54.00392784,0.998704495,0.016934354,52.91060422,0.999551473,0.010126186
AT1G37130,52.44778403,0.988821566,0.038302161,54.11409192,0.988452552,0.043762161,,,
AT1G42970,37.18618925,0.997625629,0.018285826,54.20323549,0.988190391,0.050840959,53.9793456,0.988731113,0.049796755
AT1G43860,49.9642447,0.995147058,0.027056849,,,,,,
AT1G44575,41.07447878,0.998350495,0.017564557,59.08478159,0.985414204,0.054505529,60.27851191,0.963534351,0.085567396
AT1G45000,35.56074363,0.991373185,0.031792048,45.79792242,0.996236079,0.02942112,,,
AT1G45170,,,,56.88019776,0.988869348,0.043707789,,,
AT1G45474,32.65266984,0.991119315,0.032780773,56.56700869,0.986437469,0.054695199,56.91579357,0.984295412,0.059456124
AT1G47128,56.04141131,0.998070206,0.016508681,58.29691407,0.99491284,0.028875412,58.34606002,0.987750759,0.047154528
AT1G47200,,,,60.6322178,0.986930887,0.041325416,62.42941111,0.961865632,0.085679879
AT1G47250,60.16507477,0.98506124,0.047778247,50.04031988,0.990928407,0.045676743,,,
AT1G47260,50.11196556,0.995238842,0.027844037,56.26441014,0.997818976,0.020307731,56.28536865,0.993582022,0.035736825
AT1G47290,,,,,,,50.9550653,0.985175397,0.053961936
AT1G47420,54.0667615,0.98766873,0.042456296,51.97843758,0.997135461,0.025736273,51.89498018,0.99432381,0.036743473
AT1G48410,52.9878787,0.998275921,0.017652467,56.03540394,0.988834048,0.050542837,56.27991497,0.994150984,0.036372903
AT1G48420,59.88428284,0.994199749,0.030604518,62.30347989,0.991879569,0.033023864,63.71846372,0.94508398,0.100642768
AT1G48520,47.24088638,0.997742237,0.023063228,53.30982597,0.997535427,0.024216075,53.17509524,0.996647026,0.029056428
AT1G48630,42.42646636,0.987324929,0.047402515,53.07645224,0.991443718,0.049033794,52.637498,0.977336868,0.084565719
AT1G48830,39.23115512,0.994984061,0.027743303,53.72452701,0.995829164,0.029424235,54.01323131,0.999513312,0.010515559
AT1G48850,44.92628376,0.998463832,0.019663243,50.0750521,0.999014718,0.015837308,49.50111028,0.999125544,0.015450208
AT1G49480,47.22023005,0.993264562,0.027903819,51.56386865,0.977523587,0.06263201,47.99133101,0.951867486,0.098670581
AT1G49760,49.94154788,0.993324088,0.030170712,41.05682492,0.986865297,0.051297414,40.33687659,0.99298424,0.037997718
AT1G49820,44.4846677,0.998645743,0.016775296,53.34108382,0.994902552,0.034718841,53.33956028,0.996443719,0.028159148
AT1G49970,40.3495827,0.99726686,0.019732919,55.48609458,0.993490777,0.038708383,55.22584036,0.994625111,0.035975847
AT1G50010,36.93348066,0.991714495,0.031592962,,,,,,
AT1G50250,39.86849126,0.991025714,0.032932234,51.8285261,0.995324828,0.03304258,49.71785868,0.994838686,0.034748783
AT1G50320,60.28214962,0.973213152,0.061163957,58.95158599,0.984300994,0.050799536,60.66209884,0.972554259,0.07024535
AT1G50670,39.79106159,0.99776903,0.018554913,44.3395797,0.993977753,0.034217892,,,
AT1G51100,58.94473975,0.956513113,0.067233111,52.21822358,0.992880974,0.037092165,52.12878574,0.983000773,0.058979088
AT1G51560,44.64517751,0.987159355,0.048248073,54.35195864,0.953827622,0.095604309,,,
AT1G51590,,,,48.53430556,0.991840079,0.03790531,,,
AT1G51650,54.2744304,0.983094784,0.038716684,56.5805791,0.955515384,0.105101083,,,
AT1G51710,47.27772594,0.995801673,0.030110558,43.45339982,0.995247208,0.032805758,,,
AT1G51980,34.24085885,0.99816858,0.015579735,54.53190888,0.993499259,0.039089695,54.87853478,0.993467882,0.040174084
AT1G52230,54.58467135,0.991248223,0.033783759,59.42618108,0.985578359,0.054231279,60.68123135,0.975224822,0.072525553
AT1G52380,64.42683598,0.985048687,0.035172758,51.35258867,0.993290974,0.035057136,,,
AT1G52400,50.39492304,0.989549168,0.050999434,55.07358723,0.991892524,0.039445041,56.13271857,0.990562345,0.042505576
AT1G52600,38.23551067,0.991874082,0.032997268,50.30690146,0.998407342,0.018399235,46.91917281,0.996030374,0.031029203
AT1G52740,62.18777448,0.914944892,0.084440885,57.69190824,0.981823067,0.057287726,58.04914415,0.965411949,0.081537366
AT1G52760,39.53360453,0.995463983,0.027073679,48.53011207,0.979729405,0.075659872,,,
AT1G53310,38.27947724,0.998360511,0.017352526,50.37263961,0.998598121,0.018183369,50.1770115,0.998956074,0.016055708
AT1G54000,50.33010194,0.994804623,0.028443504,58.58553513,0.976792777,0.059904425,,,
AT1G54010,65.70757513,0.943593268,0.078015911,,,,,,
AT1G54030,58.73759079,0.988220539,0.039173881,63.85997556,0.990346905,0.03503147,62.97173154,0.958766726,0.090093175
AT1G54320,50.00379172,0.96953372,0.059735449,53.77064888,0.975936116,0.063249144,,,
AT1G54410,,,,59.46225175,0.958357013,0.076902167,60.71542459,0.981096146,0.060122047
AT1G54830,52.34352161,0.938422699,0.118470933,,,,,,
AT1G55490,50.11725038,0.999248105,0.010376931,54.23529768,0.998272585,0.020589929,54.08626777,0.998276169,0.020850713
AT1G55670,34.73739133,0.986512039,0.039892931,,,,58.53996275,0.984797656,0.058363652
AT1G55890,45.84383459,0.99239993,0.03379707,43.51111146,0.996569606,0.02480051,,,
AT1G56330,41.76421987,0.999708407,0.007538771,,,,,,
AT1G56340,45.50811877,0.991723074,0.031932811,44.97107411,0.992945963,0.037164868,,,
AT1G56450,59.82125113,0.990095448,0.040749055,51.15136085,0.973414241,0.085246797,49.61124258,0.992739842,0.040198939
AT1G56580,45.20296609,0.998336746,0.017699582,45.61446058,0.995759392,0.029960687,45.27428019,0.984830524,0.061298431
AT1G57660,39.62659245,0.955729013,0.060208276,59.23510295,0.924514776,0.122632538,61.22387698,0.901866736,0.160943385
AT1G57720,41.87898305,0.998737178,0.014469929,47.82124242,0.982184478,0.064959072,45.8067778,0.984157649,0.062180567
AT1G58983,42.81603561,0.963230606,0.057972186,52.59364487,0.976115256,0.064227471,52.81020644,0.983618461,0.053585772
AT1G59610,,,,55.0982875,0.959995449,0.085518948,,,
AT1G59830,,,,50.92648693,0.998572072,0.01740224,51.08802935,0.991602904,0.044816944
AT1G59870,31.51693687,0.994276888,0.026202466,48.43895133,0.997500008,0.024579371,48.38215927,0.996317077,0.031206703
AT1G59900,38.2584863,0.998115056,0.017556317,51.89353364,0.998138879,0.020321395,51.52958315,0.997998985,0.021486497
AT1G60080,52.47080094,0.991983559,0.037514317,,,,,,
AT1G60420,50.30207976,0.9963919,0.028178572,46.01097559,0.988580728,0.053704921,45.34499085,0.993654466,0.040463362
AT1G60780,36.32255266,0.992283882,0.031540692,47.01503395,0.996133073,0.029238561,,,
AT1G61010,51.42830313,0.992388513,0.037582876,,,,,,
AT1G61150,58.0724435,0.990416938,0.035680267,48.91765951,0.983061714,0.055025259,,,
AT1G61250,45.81525422,0.984772721,0.041044194,,,,55.73219999,0.994247209,0.034137741
AT1G61520,32.67713454,0.992596404,0.030304119,56.82825469,0.983684177,0.060526133,56.87537392,0.985319988,0.057807352
AT1G61870,40.17528225,0.994678792,0.028236925,43.67501204,0.993191369,0.038002117,,,
AT1G62180,39.23715529,0.997616383,0.019587254,50.36106878,0.998209904,0.021337053,49.68462856,0.997230449,0.026757385
AT1G62380,43.91196627,0.999596844,0.008301011,43.46528961,0.997715228,0.022136052,43.34966857,0.997734055,0.023275223
AT1G62740,63.68012976,0.993295973,0.025343657,52.0193288,0.965499183,0.072805683,54.30038744,0.879678739,0.160824716
AT1G63000,41.05766435,0.99541034,0.023935253,43.63005054,0.997232963,0.023901929,42.75478983,0.994658527,0.032869163
AT1G63970,46.18530708,0.99867836,0.015041558,55.47373725,0.98736989,0.051646536,54.48410415,0.976012775,0.074921718
AT1G64040,,,,56.17339498,0.984985768,0.050475552,,,
AT1G64330,,,,55.20870044,0.932523775,0.125574072,,,
AT1G64520,44.61704698,0.999218896,0.012191051,51.77833504,0.988487927,0.048731834,50.99858101,0.988615476,0.05013987
AT1G64770,40.98413848,0.998669563,0.016040531,53.78539664,0.995093166,0.033219815,53.79469743,0.992905718,0.042581246
AT1G65010,54.27121605,0.983086672,0.045172174,,,,,,
AT1G65650,46.36665668,0.996583647,0.024541076,47.52394671,0.993308178,0.038209867,45.43499017,0.993241041,0.040511016
