experiment,source_file,source_row,source_protein,source_gene_name,mapping_accession,protein_accession,protein_gene_name_match,gene,mapping_status,selection_rank,selected_for_wide_table,Tm,R2,RSE
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2251,Q94AL6,Q94AL6,Q94AL6,Q94AL6,True,,unmapped_to_nodes,,False,57.15433403,0.982806038,0.057988506
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2252,Q94AM1,Q94AM1,Q94AM1,Q94AM1,True,,unmapped_to_nodes,,False,49.85872861,0.998840346,0.017295698
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2253,Q94AM8,Q94AM8,Q94AM8,Q94AM8,True,,unmapped_to_nodes,,False,56.54492558,0.986537428,0.045082242
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2254,Q94AQ7,Q94AQ7,Q94AQ7,Q94AQ7,True,,unmapped_to_nodes,,False,54.56923605,0.995725814,0.031383361
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2258,Q94AU2,Q94AU2,Q94AU2,Q94AU2,True,,unmapped_to_nodes,,False,51.35359648,0.988330723,0.052089202
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2259,Q94AU3,Q94AU3,Q94AU3,Q94AU3,True,,unmapped_to_nodes,,False,44.81542755,0.995879873,0.030467519
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2262,Q94AX4,Q94AX4,Q94AX4,Q94AX4,True,,unmapped_to_nodes,,False,58.17428716,0.988179578,0.047241553
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2264,Q94AZ5,Q94AZ5,Q94AZ5,Q94AZ5,True,,unmapped_to_nodes,,False,54.0831673,0.996944846,0.023757789
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2265,Q94B35,Q94B35,Q94B35,Q94B35,True,,unmapped_to_nodes,,False,49.70188691,0.997692083,0.02328722
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2266,Q94B52,Q94B52,Q94B52,Q94B52,True,,unmapped_to_nodes,,False,52.69674216,0.959525234,0.080429448
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2267,Q94B54,Q94B54,Q94B54,Q94B54,True,,unmapped_to_nodes,,False,56.67545706,0.98680108,0.051403792
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2270,Q94BR2,Q94BR2,Q94BR2,Q94BR2,True,,unmapped_to_nodes,,False,56.82428376,0.983892238,0.05564767
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2271,Q94BS2,Q94BS2,Q94BS2,Q94BS2,True,,unmapped_to_nodes,,False,49.20983635,0.995830532,0.032104688
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2272,Q94BT2,Q94BT2,Q94BT2,Q94BT2,True,,unmapped_to_nodes,,False,59.63482295,0.983176837,0.053794894
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2273,Q94BT9,Q94BT9,Q94BT9,Q94BT9,True,,unmapped_to_nodes,,False,53.05057194,0.991761465,0.036716627
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2274,Q94BU1,Q94BU1,Q94BU1,Q94BU1,True,,unmapped_to_nodes,,False,50.86823351,0.9958803,0.030394811
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2276,Q94BY3,Q94BY3,Q94BY3,Q94BY3,True,,unmapped_to_nodes,,False,53.35971248,0.997657202,0.02390238
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2277,Q94BY7,Q94BY7,Q94BY7,Q94BY7,True,,unmapped_to_nodes,,False,58.37348603,0.991838244,0.038724745
