node,abundance_file_1,n_uniprot_abundance_values_file_1,matched_uniprot_accessions_file_1,abundance_file_2,n_uniprot_abundance_values_file_2,matched_uniprot_accessions_file_2,abundance_file_3,n_uniprot_abundance_values_file_3,matched_uniprot_accessions_file_3,abundance_file_4,n_uniprot_abundance_values_file_4,matched_uniprot_accessions_file_4,abundance_file_5,n_uniprot_abundance_values_file_5,matched_uniprot_accessions_file_5,abundance_file_6,n_uniprot_abundance_values_file_6,matched_uniprot_accessions_file_6,abundance_file_7,n_uniprot_abundance_values_file_7,matched_uniprot_accessions_file_7,n_abundance_files_with_values,harmonized_abundance
AT5G51570,26.0,1,Q9FHM7,15.5,1.0,Q9FHM7,16.3,1.0,Q9FHM7,43.6,1.0,Q9FHM7,66.3,1.0,Q9FHM7,,,,,,,5,26.0
AT5G51660,9.73,1,Q9FGR0,16.1,1.0,Q9FGR0,4.89,1.0,Q9FGR0,14.2,1.0,Q9FGR0,49.8,1.0,Q9FGR0,,,,,,,5,14.2
AT5G51820,165.0,1,Q9SCY0,47.9,1.0,Q9SCY0,79.6,1.0,Q9SCY0,174.0,1.0,Q9SCY0,151.0,1.0,Q9SCY0,284.0,1.0,Q9SCY0,402.0,1.0,Q9SCY0,7,165.0
AT5G51940,9.06,1,Q9FJ98,76.7,1.0,Q9FJ98,3.16,1.0,Q9FJ98,,,,3.15,1.0,Q9FJ98,,,,,,,4,6.11
AT5G51970,218.0,1,Q9FJ95,84.6,1.0,Q9FJ95,157.0,1.0,Q9FJ95,228.0,1.0,Q9FJ95,178.0,1.0,Q9FJ95,352.0,1.0,Q9FJ95,386.0,1.0,Q9FJ95,7,218.0
AT5G52100,3.34,1,Q9FJ82,0.558,1.0,Q9FJ82,3.0,1.0,Q9FJ82,5.38,1.0,Q9FJ82,11.1,1.0,Q9FJ82,,,,,,,5,3.34
AT5G52240,375.0,1,Q9XFM6,761.0,1.0,Q9XFM6,299.0,1.0,Q9XFM6,386.0,1.0,Q9XFM6,532.0,1.0,Q9XFM6,277.0,1.0,Q9XFM6,164.0,1.0,Q9XFM6,7,375.0
AT5G52300,4.12,1,Q04980,1.96,1.0,Q04980,12.6,1.0,Q04980,,,,66.0,1.0,Q04980,,,,,,,4,8.36
AT5G52310,41.2,1,Q06738,85.9,1.0,Q06738,66.2,1.0,Q06738,31.9,1.0,Q06738,19.1,1.0,Q06738,,,,,,,5,41.2
AT5G52430,0.378,1,Q9FHB7,,,,0.53,1.0,Q9FHB7,0.532,1.0,Q9FHB7,,,,,,,,,,3,0.53
AT5G52470,122.0,1,Q9FEF8,126.0,1.0,Q9FEF8,164.0,1.0,Q9FEF8,144.0,1.0,Q9FEF8,154.0,1.0,Q9FEF8,,,,,,,5,144.0
AT5G52490,7.31,1,Q9FHB3,13.4,1.0,Q9FHB3,12.2,1.0,Q9FHB3,5.91,1.0,Q9FHB3,,,,,,,,,,4,9.754999999999999
AT5G52520,64.7,1,Q9FYR6,13.4,1.0,Q9FYR6,18.8,1.0,Q9FYR6,105.0,1.0,Q9FYR6,69.5,1.0,Q9FYR6,51.4,1.0,Q9FYR6,73.1,1.0,Q9FYR6,7,64.7
AT5G52650,186.0,1,Q9LTF2,141.0,1.0,Q9LTF2,104.0,1.0,Q9LTF2,322.0,1.0,Q9LTF2,28.8,1.0,Q9LTF2,,,,,,,5,141.0
AT5G52830,0.032,1,Q9FLX8,0.3,1.0,Q9FLX8,,,,,,,,,,,,,,,,2,0.16599999999999998
AT5G52960,16.9,1,Q9LVV6,41.7,1.0,Q9LVV6,6.75,1.0,Q9LVV6,23.8,1.0,Q9LVV6,,,,,,,,,,4,20.35
AT5G53000,17.1,1,Q8LDQ4,60.6,1.0,Q8LDQ4,5.91,1.0,Q8LDQ4,20.0,1.0,Q8LDQ4,22.0,1.0,Q8LDQ4,,,,,,,5,20.0
AT5G53060,3.44,1,Q8W4B1,0.934,1.0,Q8W4B1,0.718,1.0,Q8W4B1,6.78,1.0,Q8W4B1,16.2,1.0,Q8W4B1,,,,,,,5,3.44
AT5G53120,26.7,1,Q94BN2,4.36,1.0,Q94BN2,22.9,1.0,Q94BN2,44.1,1.0,Q94BN2,59.9,1.0,Q94BN2,,,,,,,5,26.7
AT5G53140,78.2,1,Q94AT1,135.0,1.0,Q94AT1,35.3,1.0,Q94AT1,121.0,1.0,Q94AT1,57.2,1.0,Q94AT1,,,,,,,5,78.2
AT5G53150,0.591,1,Q9FGM2,1.24,1.0,Q9FGM2,0.18,1.0,Q9FGM2,0.834,1.0,Q9FGM2,4.8,1.0,Q9FGM2,,,,,,,5,0.834
AT5G53160,0.258,1,Q9FGM1,1.04,1.0,Q9FGM1,,,,0.331,1.0,Q9FGM1,,,,,,,,,,3,0.331
AT5G53400,83.1,1,Q9LV09,127.0,1.0,Q9LV09,32.4,1.0,Q9LV09,133.0,1.0,Q9LV09,221.0,1.0,Q9LV09,,,,,,,5,127.0
AT5G53460,95.6,1,Q9LV03,39.3,1.0,Q9LV03,81.2,1.0,Q9LV03,93.0,1.0,Q9LV03,268.0,1.0,Q9LV03,145.0,1.0,Q9LV03,156.0,1.0,Q9LV03,7,95.6
AT5G53480,101.0,1,Q9FJD4,31.0,1.0,Q9FJD4,62.8,1.0,Q9FJD4,132.0,1.0,Q9FJD4,319.0,1.0,Q9FJD4,118.0,1.0,Q9FJD4,109.0,1.0,Q9FJD4,7,109.0
