source,target
AT1G08480,AT5G14240
AT1G08560,AT1G12360
AT1G08560,AT5G04870
AT1G08560,AT5G61210
AT1G08720,AT5G13530
AT1G08780,AT3G24650
AT1G08800,AT5G20490
AT1G08820,AT3G59220
AT1G08820,AT4G34460
AT1G08830,AT1G18080
AT1G08830,AT3G14990
AT1G08830,AT3G21630
AT1G08970,AT1G09030
AT1G08970,AT1G14920
AT1G08970,AT1G17590
AT1G08970,AT1G48500
AT1G08970,AT1G51600
AT1G08970,AT1G58100
AT1G08970,AT1G66350
AT1G08970,AT1G69690
AT1G08970,AT2G01570
AT1G08970,AT2G24790
AT1G08970,AT2G33500
AT1G08970,AT2G34720
AT1G08970,AT2G46790
AT1G08970,AT3G03450
AT1G08970,AT3G05690
AT1G08970,AT3G15030
AT1G08970,AT3G21175
AT1G08970,AT3G45640
AT1G08970,AT3G47620
AT1G08970,AT4G01370
AT1G08970,AT4G14540
AT1G08970,AT4G14713
AT1G08970,AT4G14720
AT1G08970,AT4G18960
AT1G08970,AT4G20380
AT1G08970,AT5G08330
AT1G08970,AT5G11260
AT1G08970,AT5G15840
AT1G08970,AT5G15850
AT1G08970,AT5G24930
AT1G08970,AT5G47640
AT1G08970,AT5G57180
AT1G08970,AT5G59570
AT1G08970,AT5G60120
AT1G08970,AT5G61380
AT1G09000,AT1G18370
AT1G09000,AT1G71880
AT1G09020,AT1G58270
AT1G09020,AT1G71880
AT1G09020,AT2G22430
AT1G09020,AT2G30360
AT1G09020,AT2G36270
AT1G09020,AT2G38310
AT1G09020,AT2G38940
AT1G09020,AT2G39050
AT1G09020,AT3G01090
AT1G09020,AT3G29160
AT1G09020,AT3G50060
AT1G09020,AT4G11220
AT1G09020,AT4G16360
AT1G09020,AT4G23570
AT1G09020,AT4G25670
AT1G09020,AT4G34000
AT1G09020,AT5G01820
AT1G09020,AT5G21170
AT1G09020,AT5G52310
AT1G09030,AT1G54830
AT1G09030,AT2G25620
AT1G09030,AT3G48590
AT1G09030,AT5G15840
AT1G09030,AT5G27910
AT1G09030,AT5G47640
