AGI,Fan2024_root_100kg_diff_log2k,Fan2024_root_100kg_k_fold_change,Fan2024_root_100kg_ctrl_log2k_mean,Fan2024_root_100kg_temp30_log2k_mean,Fan2024_root_1500g_diff_log2k,Fan2024_root_1500g_k_fold_change,Fan2024_root_1500g_ctrl_log2k_mean,Fan2024_root_1500g_temp30_log2k_mean,Fan2024_root_soluble_diff_log2k,Fan2024_root_soluble_k_fold_change,Fan2024_root_soluble_ctrl_log2k_mean,Fan2024_root_soluble_temp30_log2k_mean,Fan2024_shoot_100kg_diff_log2k,Fan2024_shoot_100kg_k_fold_change,Fan2024_shoot_100kg_ctrl_log2k_mean,Fan2024_shoot_100kg_temp30_log2k_mean,Fan2024_shoot_1500g_diff_log2k,Fan2024_shoot_1500g_k_fold_change,Fan2024_shoot_1500g_ctrl_log2k_mean,Fan2024_shoot_1500g_temp30_log2k_mean,Fan2024_shoot_soluble_diff_log2k,Fan2024_shoot_soluble_k_fold_change,Fan2024_shoot_soluble_ctrl_log2k_mean,Fan2024_shoot_soluble_temp30_log2k_mean
AT2G31390,0.265,1.2016360495268508,-6.102,-5.837,,,,,0.2,1.148698354997035,-5.187,-4.988,,,,,,,,,,,,
AT2G32720,0.508,1.4220774105872747,-5.074,-4.566,,,,,,,,,,,,,,,,,,,,
AT2G33040,0.305,1.2354186371269291,-5.501,-4.946,,,,,,,,,,,,,0.539,1.45296504957137,-6.535,-5.995,,,,
AT2G34420,,,,,,,,,,,,,,,,,,,,,0.323,1.2509290801132664,-6.223,-5.9
AT2G35490,,,,,,,,,,,,,,,,,0.551,1.4651008746113379,-6.537,-5.986,,,,
AT2G36530,0.335,1.2613774088312495,-5.361,-4.96,0.455,1.3707828049797035,-5.526,-5.029,,,,,,,,,,,,,0.362,1.285206337469373,-5.742,-5.389
AT2G36880,0.249,1.188383105056932,-5.183,-4.934,0.199,1.1479024138550018,-5.435,-5.235,0.137,1.0996161493145513,-5.026,-4.889,,,,,,,,,,,,
AT2G37660,,,,,,,,,,,,,,,,,,,,,0.768,1.70290741549789,-6.783,-5.958
AT2G39460,0.374,1.2959409654333336,-5.376,-5.002,,,,,,,,,,,,,,,,,,,,
AT2G39480,0.374,1.2959409654333336,-5.376,-5.002,,,,,,,,,,,,,,,,,,,,
AT2G39730,,,,,,,,,,,,,0.651,1.570256237347145,-6.08,-5.442,0.632,1.549711861918343,-6.089,-5.372,,,,
AT2G40840,,,,,,,,,,,,,,,,,0.474,1.3889551357651104,-6.133,-5.658,,,,
AT2G41110,0.399,1.3185936144923665,-6.116,-5.665,,,,,0.272,1.2074805914864963,-5.314,-5.06,,,,,,,,,,,,
AT2G41810,,,,,0.419,1.337000495405134,-5.79,-5.372,,,,,,,,,,,,,,,,
AT2G42590,,,,,,,,,,,,,,,,,,,,,0.686,1.6088167418838315,-5.801,-5.115
AT2G42600,,,,,,,,,,,,,,,,,,,,,0.201,1.149494848034677,-6.038,-5.838
AT2G43610,1.317,2.4914748311389476,-8.134,-6.756,,,,,,,,,,,,,,,,,,,,
AT2G43710,,,,,,,,,,,,,,,,,,,,,0.635,1.5529377500020793,-4.72,-4.085
AT2G43910,,,,,,,,,,,,,,,,,,,,,0.523,1.4369401765440633,-6.105,-5.582
AT2G44060,0.415,1.3332986770911985,-5.223,-4.836,0.531,1.4449303979235255,-5.428,-4.874,,,,,0.488,1.402499250642401,-5.892,-5.404,,,,,,,,
AT2G44640,,,,,,,,,,,,,1.595,3.0209451711256508,-7.568,-5.974,,,,,,,,
AT2G45060,0.582,1.4969229867926912,-5.62,-5.038,,,,,,,,,,,,,,,,,,,,
AT2G45470,0.326,1.2535330204406905,-5.747,-5.394,,,,,,,,,0.578,1.492778383296953,-5.737,-5.16,,,,,,,,
AT2G45740,,,,,,,,,,,,,0.542,1.4559895489990866,-5.212,-4.67,,,,,,,,
AT2G45960,0.412,1.330529041080686,-5.675,-5.263,,,,,,,,,,,,,,,,,,,,
AT2G47000,0.418,1.3360740783900993,-5.249,-4.831,,,,,,,,,,,,,,,,,,,,
AT2G47170,0.51,1.4240501955970717,-5.259,-4.593,,,,,0.388,1.3085780714550102,-4.916,-4.529,0.617,1.5336826596730921,-5.472,-4.854,,,,,,,,
AT2G47840,,,,,,,,,,,,,0.318,1.2466011942750974,-6.431,-6.113,,,,,,,,
AT3G01280,0.565,1.4793875092488373,-5.599,-5.034,0.56,1.4742692172911012,-5.751,-5.191,,,,,0.329,1.2561423811435273,-6.018,-5.688,,,,,,,,
AT3G01290,0.387,1.3076713485367588,-5.284,-4.896,,,,,,,,,,,,,,,,,,,,
AT3G01390,0.442,1.3584862845489447,-5.739,-5.298,0.818,1.76296031581434,-6.099,-5.281,,,,,,,,,,,,,,,,
