AGI,Li2017_k_deg_day_inverse
AT4G31460,0.104
AT4G31530,0.115
AT4G31990,0.104
AT4G32260,0.089
AT4G32590,0.177
AT4G33010,0.205
AT4G33030,0.092
AT4G33090,0.119
AT4G33220,0.072
AT4G33390,0.067
AT4G33470,0.071
AT4G33500,0.152
AT4G33680,0.055
AT4G33760,0.158
AT4G34050,0.379
AT4G34110,0.112
AT4G34120,0.112
AT4G34200,0.005
AT4G34450,0.103
AT4G34490,0.085
AT4G34620,0.057
AT4G34870,0.1
AT4G35000,0.287
AT4G35100,0.04
AT4G35160,0.105
AT4G35240,0.074
AT4G35250,0.075
AT4G35260,0.133
AT4G35450,0.209
AT4G35830,0.215
AT4G36390,0.136
AT4G36760,0.107
AT4G36940,0.136
AT4G37000,0.133
AT4G37300,0.163
AT4G37800,0.196
AT4G37870,0.136
AT4G37910,0.194
AT4G37925,0.204
AT4G37930,0.21
AT4G37980,0.189
AT4G38220,0.149
AT4G38460,0.182
AT4G38680,0.059
AT4G38740,0.138
AT4G38800,0.195
AT4G38810,0.293
AT4G38970,0.093
AT4G39260,0.129
AT4G39650,0.091
AT4G39710,0.06
AT4G39730,0.12
AT4G39756,0.078
AT4G39970,0.074
AT5G01410,0.244
AT5G01530,0.072
AT5G01600,0.243
AT5G01650,0.07
AT5G01720,0.229
AT5G01750,0.464
AT5G02160,0.056
AT5G02240,0.148
AT5G02790,0.383
AT5G03240,0.3
AT5G03290,0.115
AT5G03300,0.142
AT5G03350,0.107
AT5G03455,0.318
AT5G03630,0.209
AT5G03730,0.025
AT5G03850,0.017
AT5G03880,0.161
AT5G03940,0.06
AT5G04050,0.057
AT5G04140,0.091
AT5G04430,0.098
AT5G04590,0.198
AT5G04740,0.102
AT5G04800,0.047
AT5G05370,0.061
AT5G06060,0.122
AT5G06290,0.038
AT5G07020,0.107
AT5G07090,-0.015
AT5G07350,0.112
AT5G08050,0.124
AT5G08060,0.179
AT5G08260,0.094
AT5G08280,0.042
AT5G08300,0.137
AT5G08380,0.108
AT5G08410,0.097
AT5G08670,0.053
AT5G08680,0.053
AT5G08690,0.053
AT5G09590,0.101
AT5G09650,0.049
AT5G09660,0.181
AT5G09810,0.114
AT5G10160,-0.001
AT5G10330,0.121
AT5G10450,0.162
AT5G10470,0.218
AT5G10540,0.166
AT5G10560,0.063
AT5G10860,0.223
AT5G10920,0.057
AT5G11170,0.255
AT5G11200,0.255
AT5G11420,0.099
AT5G11450,0.08
AT5G11520,0.175
AT5G11670,0.231
AT5G11770,0.071
AT5G11880,0.065
AT5G11950,0.154
AT5G12140,0.128
AT5G12470,0.155
AT5G13030,0.16
AT5G13120,0.252
AT5G13410,0.15
AT5G13420,0.184
AT5G13450,0.059
AT5G13510,0.035
AT5G13630,0.162
AT5G13650,0.438
AT5G14040,0.044
AT5G14260,0.073
AT5G14320,0.14
AT5G14590,0.1
AT5G14660,0.12
AT5G14670,0.187
AT5G14680,0.218
AT5G14740,0.088
AT5G14780,0.16
AT5G14910,0.067
AT5G15090,0.045
AT5G15300,0.342
AT5G15450,0.217
AT5G15650,0.211
AT5G15680,0.043
AT5G15910,0.103
AT5G16040,0.131
AT5G16390,0.078
AT5G16400,0.22
AT5G16620,0.115
AT5G16660,0.294
AT5G16710,0.047
AT5G16750,0.095
AT5G16840,0.097
AT5G16970,0.136
AT5G16990,0.229
AT5G17170,0.129
AT5G17380,0.19
AT5G17530,0.298
AT5G17710,0.039
AT5G17920,0.105
AT5G18100,0.198
AT5G18660,0.152
AT5G18800,0.205
AT5G19140,1.047
AT5G19220,0.094
AT5G19240,0.125
AT5G19250,0.109
AT5G19370,0.097
AT5G19440,0.226
AT5G19510,0.076
AT5G19550,0.165
AT5G19760,0.094
AT5G19770,0.276
AT5G19780,0.276
AT5G19855,0.228
AT5G19940,0.765
AT5G19990,0.161
AT5G20000,0.161
AT5G20010,0.161
AT5G20020,0.161
AT5G20080,0.09
AT5G20620,0.3
AT5G20630,-0.025
AT5G20720,0.012
AT5G20890,0.459
AT5G20950,0.111
AT5G22350,0.057
AT5G22450,0.009
AT5G22580,0.146
AT5G22800,0.112
AT5G23060,66.0
AT5G23120,0.08
AT5G23140,0.062
AT5G23430,0.113
AT5G23440,0.214
AT5G23540,0.112
AT5G23750,0.061
AT5G23820,-0.043
AT5G24300,0.158
AT5G24400,0.084
AT5G24490,0.126
AT5G24810,0.032
AT5G25590,0.058
AT5G25930,0.104
AT5G25980,0.03
AT5G26000,0.028
AT5G26360,0.092
AT5G26570,0.16
AT5G26742,0.619
AT5G26830,0.097
AT5G27390,0.061
AT5G27470,0.068
AT5G28050,0.197
AT5G28750,0.095
AT5G28840,0.138
AT5G30510,0.172
AT5G34850,0.111
AT5G35100,0.162
AT5G35170,0.239
AT5G35360,0.063
AT5G35590,0.094
AT5G35630,0.065
AT5G36670,0.08
AT5G36700,0.076
AT5G36740,0.08
AT5G36790,0.076
AT5G36880,0.07
AT5G37510,0.377
AT5G37640,0.3
AT5G38190,0.005
AT5G38430,0.064
AT5G38480,0.096
AT5G38520,0.142
AT5G39730,0.066
AT5G39830,0.202
AT5G40370,0.227
AT5G40770,0.027
AT5G41520,0.02
AT5G42070,0.167
AT5G42240,0.137
AT5G42270,0.162
AT5G42280,0.081
AT5G42390,0.269
AT5G42400,0.139
AT5G42650,0.523
AT5G42740,0.11
AT5G42765,0.063
AT5G42790,0.134
AT5G42960,0.093
AT5G42980,0.169
AT5G43130,0.11
AT5G43780,0.294
AT5G43830,0.192
AT5G43940,0.121
AT5G43970,0.314
AT5G44020,0.434
AT5G44130,0.099
AT5G44500,0.064
AT5G45060,0.096
AT5G45170,0.119
AT5G45390,0.034
AT5G45620,0.102
AT5G45680,0.049
AT5G45775,-0.0215
AT5G46110,0.066
AT5G46800,0.084
AT5G47030,0.063
AT5G47210,0.126
AT5G47520,0.144
AT5G47690,0.083
AT5G47700,0.058
AT5G47820,0.122
AT5G47840,0.089
AT5G47870,0.124
AT5G48090,0.06
AT5G48220,0.071
AT5G48300,0.108
AT5G48790,0.124
AT5G48810,0.264
AT5G48870,0.069
AT5G48960,0.089
AT5G49360,0.365
AT5G49680,0.173
AT5G49910,0.082
AT5G50250,0.301
AT5G50370,0.104
AT5G50850,0.069
AT5G50920,0.219
AT5G50960,0.021
AT5G51110,0.612
AT5G51720,0.023
AT5G51820,0.101
AT5G51970,0.201
AT5G52100,0.134
AT5G52440,0.13
AT5G52520,0.071
AT5G52650,0.004
AT5G52840,0.087
AT5G52920,0.194
AT5G52960,0.07
AT5G52970,0.055
AT5G53460,0.214
AT5G53490,0.034
AT5G53560,0.223
AT5G54160,0.153
AT5G54270,0.084
AT5G54600,0.038
AT5G54760,0.553
AT5G54770,1.931
AT5G54810,0.193
AT5G55070,0.093
AT5G55190,0.161
AT5G55220,0.095
AT5G55280,0.061
AT5G55660,0.118
AT5G55730,0.025
AT5G56260,0.182
AT5G56680,0.094
AT5G57020,0.038
AT5G57035,0.088
AT5G57040,0.371
AT5G57815,0.11
AT5G58000,0.041
AT5G58070,0.21
AT5G58250,0.042
AT5G58260,0.101
AT5G58290,0.152
AT5G58330,0.123
AT5G58420,-0.015
AT5G58710,0.161
AT5G59020,0.069
AT5G59850,0.007
AT5G59880,0.125
AT5G60160,0.162
AT5G60360,0.577
AT5G60930,0.103
AT5G61410,0.073
AT5G62300,0.043
AT5G62350,0.694
AT5G62530,0.092
AT5G62790,0.3
AT5G63310,0.007
AT5G63400,0.039
AT5G63420,0.145
AT5G63570,0.033
AT5G63890,0.186
AT5G63980,0.197
AT5G64040,0.039
AT5G64050,0.086
AT5G64340,0.053
AT5G64380,0.157
AT5G65010,0.201
AT5G65020,0.074
AT5G65270,0.06
AT5G65430,0.185
AT5G65620,0.109
AT5G65760,0.11
AT5G65840,0.327
AT5G66090,0.107
AT5G66190,0.137
AT5G66420,0.249
AT5G66530,0.084
